PRODUTO,ADIÇÃO,ITEM,CODIGO,CODIGO GIIRO,NCM,QUANTD,PESO LID. UNIT,PESO LIQ TOTAL,FATOR PESO,FOB UNIT USD,FOB TOTAL USD,VLR TOTALFOB R$,SERVICE CHARGES,SERVICE CHARGES R$,FRETE INT.USD,FRETE INT.R$,ACRESC. FRETE USD,ACRESC. FRETE R$,VLR CFR UNIT,VLR CFR TOTAL,SEGURO INT.USD,SEGURO INT.R$,THC USD,THC R$,VLR ADUANEIRO USD,VLR ADUANEIRO R$,II,IPI,PIS,COFINS,ICMS,ICMS REDUZIDO,REDUÇÃO,VLR II,BC IPI,VLR IPI,BC PIS/COFINS,VLR PIS,VLR COFINS,DESP. ADUANEIRA,BC ICMS S/REDUÇÃO,VLR ICMS S/RED.,BC ICMS REDUZIDO,VLR ICMS REDUZ.,VLR UNIT PROD. NF,VLR TOTAL PROD. NF,VLR TOTAL NF S/ICMS ST,BC ICMS-ST,MVA,ICMS-ST,VLR ICMS-ST,VLR TOTAL NF C/ICMS-ST,,FATOR VLR FOB,FATOR TX SISCOMEX,MULTA,TX DEF. LI,TAXA SISCOMEX,OUTRAS TX AGENTE,DELIVERY FEE,DESCONS.,COLLECT FEE,HANDLING,DAI,DAPE,LI+DTA+HONOR.NIX,HONORÁRIOS NIX,DESP. DESEMBARAÇO,DIF. CAMBIAL FRETE,DIF CAMBIAL FOB,CUSTO UNIT FINAL,CUSTO TOTAL FINAL
"SENSOR, WATER TEMP - SENSOR TEMPERATURA 1E27507G02 ERA 0415067 DO SISTEMA DE ARREFECIMENTO DE MOTOR A DIESEL 3 CILINDROS DE EQUIPAMENTO DE REFRIGERAÇÃO",6,12,GO416539,006054, 9032.89.82 ,8,0.087500,0.70,0.01056126,11.6000, 92.800 , 531.20 , -   , -   , 22.29 , 127.59 , -   , -   , 14.3863 , 115.0906 , -   , -   , -   , -   , 115.09 , 658.79 ,12.60%,9.75%,2.10%,10.45%,19.00%,,, 83.01 , 741.80 , 72.33 , 658.79 , 13.83 , 68.84 , 24.92 ," 1,137.93 ", 216.21 ," 1,137.93 ", 216.21 , 92.72 , 741.80 ," 1,137.93 ",,,,," 1,137.93 ",,0.00960380,0.0100384981858223,,, 5.33 , -   , -   , -   , -   , -   , 5.01 , -   , 36.45 , 14.58 , 36.45 , -   , 4.45 , 120.33 , 962.61 
SWITCH HPCO - SB3/S2 C/ CONECTOR 9143C70G09 - PRESSOSTO ALTA PRESSAO USADO NO COMPRESSOR X430 DE EQUIPAMENTO DE REFRIGERAÇÃO,7,9,GO413669,006524, 9032.20.00 ,12,0.100000,1.20,0.01810501,7.2500, 87.000 , 498.00 , -   , -   , 38.21 , 218.73 , -   , -   , 10.4344 , 125.2124 , -   , -   , -   , -   , 125.21 , 716.73 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 129.01 , 845.74 , 82.46 , 716.73 , 15.05 , 74.90 , 23.36 ," 1,285.82 ", 244.31 ," 1,285.82 ", 244.31 , 70.48 , 845.74 ," 1,285.82 ",,,,," 1,285.82 ",,0.00900356,0.0100384981858223,,, 5.00 , -   , -   , -   , -   , -   , 4.70 , -   , 34.17 , 13.67 , 34.17 , -   , 4.17 , 89.99 ," 1,079.85 "
HIGH PRESSURE SWITCH - PRESSOSTATO ALTA PRESSÃO USADO NO COMPRESSOR X430P DE EQUIPAMENTO DE REFRIGERAÇÃO,7,10,GO416356,006060, 9032.20.00 ,6,0.090000,0.54,0.00814725,7.2500, 43.500 , 249.00 , -   , -   , 17.20 , 98.43 , -   , -   , 10.1159 , 60.6956 , -   , -   , -   , -   , 60.70 , 347.43 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 62.54 , 409.96 , 39.97 , 347.43 , 7.30 , 36.31 , 11.68 , 623.73 , 118.51 , 623.73 , 118.51 , 68.33 , 409.96 , 623.73 ,,,,, 623.73 ,,0.00450178,0.0100384981858223,,, 2.50 , -   , -   , -   , -   , -   , 2.35 , -   , 17.08 , 6.83 , 17.08 , -   , 2.08 , 87.40 , 524.39 
"SWITCH, OIL SAFETY - INTERRUPTOR DE OLEO DE MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",7,20,GO416865,006523, 9032.20.00 ,6,0.066667,0.40,0.00603500,7.2500, 43.500 , 249.00 , -   , -   , 12.74 , 72.91 , -   , -   , 9.3729 , 56.2375 , -   , -   , -   , -   , 56.24 , 321.91 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 57.94 , 379.85 , 37.04 , 321.91 , 6.76 , 33.64 , 11.68 , 578.97 , 110.01 , 578.97 , 110.01 , 63.31 , 379.85 , 578.97 ,,,,, 578.97 ,,0.00450178,0.0100384981858223,,, 2.50 , -   , -   , -   , -   , -   , 2.35 , -   , 17.08 , 6.83 , 17.08 , -   , 2.08 , 81.36 , 488.14 
"SWITCH, OIL PRESSURE - INTERRUPTOR DE OLEO ERA 0410386 DE MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",7,21,GO417063,006527, 9032.20.00 ,18,0.055556,1.00,0.01508751,8.4100, 151.380 , 866.51 , -   , -   , 31.84 , 182.28 , -   , -   , 10.1791 , 183.2237 , -   , -   , -   , -   , 183.22 ," 1,048.79 ",18.00%,9.75%,2.10%,10.45%,19.00%,,, 188.78 ," 1,237.57 ", 120.66 ," 1,048.79 ", 22.02 , 109.60 , 40.65 ," 1,889.52 ", 359.01 ," 1,889.52 ", 359.01 , 68.75 ," 1,237.57 "," 1,889.52 ",,,,," 1,889.52 ",,0.01566620,0.0100384981858223,,, 8.70 , -   , -   , -   , -   , -   , 8.17 , -   , 59.45 , 23.78 , 59.45 , -   , 7.25 , 88.73 ," 1,597.22 "
"SWITCH, OIL PRESSURE - INTERRUPTOR DE OLEO ERA 410389 DE MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO ",7,22,GO417064,006528, 9032.20.00 ,9,0.055556,0.50,0.00754375,5.8000, 52.200 , 298.80 , -   , -   , 15.92 , 91.14 , -   , -   , 7.5691 , 68.1218 , -   , -   , -   , -   , 68.12 , 389.94 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 70.19 , 460.12 , 44.86 , 389.94 , 8.19 , 40.76 , 14.02 , 701.18 , 133.22 , 701.18 , 133.22 , 51.12 , 460.12 , 701.18 ,,,,, 701.18 ,,0.00540214,0.0100384981858223,,, 3.00 , -   , -   , -   , -   , -   , 2.82 , -   , 20.50 , 8.20 , 20.50 , -   , 2.50 , 65.66 , 590.95 
EXPANSION TANK SENSOR SB SERIES - SENSOR DE NIVEL  DO LIQUIDO DE  ARREFECIMENTO DE MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO,7,31,GO421397,000869, 9032.20.00 ,8,0.037500,0.30,0.00452625,3.7700, 30.160 , 172.64 , -   , -   , 9.55 , 54.68 , -   , -   , 4.9641 , 39.7131 , -   , -   , -   , -   , 39.71 , 227.32 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 40.92 , 268.24 , 26.15 , 227.32 , 4.77 , 23.76 , 8.10 , 408.67 , 77.65 , 408.67 , 77.65 , 33.53 , 268.24 , 408.67 ,,,,, 408.67 ,,0.00312124,0.0100384981858223,,, 1.73 , -   , -   , -   , -   , -   , 1.63 , -   , 11.85 , 4.74 , 11.85 , -   , 1.44 , 43.04 , 344.31 
PRESSURE SENSOR TRANSDUCER - TRANSDUTOR DE PRESSAO 500 PSI ERA 421309 DE DESCARGA USADO EM EQUIPAMENTO DE REFRIGERAÇÃO ,8,13,GO422827,003052, 9026.20.90 ,8,0.087500,0.70,0.01056126,20.2900, 162.320 , 929.14 , -   , -   , 22.29 , 127.59 , -   , -   , 23.0763 , 184.6106 , -   , -   , -   , -   , 184.61 ," 1,056.73 ",18.00%,0.00%,2.10%,10.45%,19.00%,,, 190.21 ," 1,246.94 ", -   ," 1,056.73 ", 22.19 , 110.43 , 43.59 ," 1,756.98 ", 333.83 ," 1,756.98 ", 333.83 , 155.87 ," 1,246.94 "," 1,756.98 ",,,,," 1,756.98 ",,0.01679837,0.0100384981858223,,, 9.33 , -   , -   , -   , -   , -   , 8.76 , -   , 63.75 , 25.50 , 63.75 , -   , 7.78 , 186.83 ," 1,494.67 "
PRESSURE SENSOR - TRANSDUTOR DE PRESSÃO   ERA 421310 USADO EM EQUIPAMENTO DE REFRIGERAÇÃO,8,14,GO422284,006057, 9626.20.90 ,4,0.125000,0.50,0.00754375,20.2900, 81.160 , 464.57 , -   , -   , 15.92 , 91.14 , -   , -   , 24.2705 , 97.0818 , -   , -   , -   , -   , 97.08 , 555.71 ,18.00%,0.00%,2.10%,10.45%,19.00%,,, 100.03 , 655.73 , -   , 555.71 , 11.67 , 58.07 , 21.79 , 922.55 , 175.29 , 922.55 , 175.29 , 163.93 , 655.73 , 922.55 ,,,,, 922.55 ,,0.00839919,0.0100384981858223,,, 4.66 , -   , -   , -   , -   , -   , 4.38 , -   , 31.87 , 12.75 , 31.87 , -   , 3.89 , 195.76 , 783.03 
TRANSDUCER HP 500 PSI PRESSURE SENSOR SL/SLX - TRANSDUTOR ALTA PRESSAO 500 PSIG SERIE T 2E43631G07 ERA417962,8,15,GO421312,006056, 9026.20.90 ,12,0.083333,1.00,0.01508751,20.2900, 243.480 ," 1,393.70 ", -   , -   , 31.84 , 182.28 , -   , -   , 22.9436 , 275.3237 , -   , -   , -   , -   , 275.32 ," 1,575.98 ",18.00%,0.00%,2.10%,10.45%,19.00%,,, 283.68 ," 1,859.66 ", -   ," 1,575.98 ", 33.10 , 164.69 , 65.38 ," 2,620.77 ", 497.95 ," 2,620.77 ", 497.95 , 154.97 ," 1,859.66 "," 2,620.77 ",,,,," 2,620.77 ",,0.02519756,0.0100384981858223,,, 13.99 , -   , -   , -   , -   , -   , 13.14 , -   , 95.62 , 38.25 , 95.62 , -   , 11.66 , 185.84 ," 2,230.11 "
